,Date,_ADAUSDT_,_BNBUSDT_,_BTCUSDT_,_EOSUSDT_,_ETCUSDT_,_ETHUSDT_,_LINKUSDT_,_LTCUSDT_,_NEOUSDT_,_TRXUSDT_,_XLMUSDT_,_XRPUSDT_,_ZECUSDT_
0,2019-03-21 00:00:00,0.05235,14.3511,3980.64,3.6185,4.7593,134.85,0.4548,58.54,8.921,0.02217,0.10554,0.30965,55.14
1,2019-03-22 00:00:00,0.05779,15.1502,3986.93,3.6176,4.8519,135.98,0.4646,59.26,9.151,0.02251,0.10815,0.31041,55.07
2,2019-03-23 00:00:00,0.06349,15.1397,4006.01,3.6647,4.874,137.28,0.4608,60.89,9.354,0.02428,0.10681,0.31182,56.9
3,2019-03-24 00:00:00,0.06151,17.1096,3992.18,3.6314,4.8234,136.09,0.4531,59.82,9.124,0.02324,0.10437,0.30787,57.21
4,2019-03-25 00:00:00,0.05857,16.7631,3936.12,3.65,4.6901,133.98,0.4734,59.04,8.917,0.02256,0.10014,0.3031,55.32
5,2019-03-26 00:00:00,0.0617,16.1998,3948.55,3.7439,4.6663,134.18,0.4605,58.79,8.867,0.0224,0.10258,0.30302,54.49
6,2019-03-27 00:00:00,0.06697,16.6,4038.05,4.2539,4.7962,139.45,0.4946,61.44,9.274,0.0233,0.1076,0.31012,56.96
7,2019-03-28 00:00:00,0.06551,16.6665,4027.81,4.2442,4.7055,137.86,0.4992,60.5,9.181,0.02315,0.1065,0.30604,56.18
8,2019-03-29 00:00:00,0.07112,16.4753,4103.25,4.302,4.8722,143.25,0.5008,61.45,9.941,0.0233,0.10752,0.30774,57.14
9,2019-03-30 00:00:00,0.0721,16.9666,4106.97,4.1502,4.7843,142.46,0.494,60.45,9.941,0.02322,0.10725,0.31107,57.1
10,2019-03-31 00:00:00,0.06989,17.5376,4103.95,4.1893,4.8245,141.38,0.5084,60.48,10.095,0.02344,0.10824,0.30889,58.65
11,2019-04-01 00:00:00,0.0721,17.8888,4144.56,4.2043,4.8095,141.24,0.554,60.45,10.04,0.02433,0.11017,0.31248,62.7
12,2019-04-02 00:00:00,0.08544,19.7155,4857.29,5.0232,5.4288,163.31,0.5811,76.78,11.505,0.02671,0.12111,0.3505,69.6
13,2019-04-03 00:00:00,0.09062,18.5489,4932.6,5.2089,5.4051,159.96,0.562,85.19,12.123,0.02595,0.12038,0.34022,69.55
14,2019-04-04 00:00:00,0.08716,18.992,4898.66,5.065,5.3285,157.36,0.5396,84.7,12.771,0.02582,0.11722,0.32996,66.78
15,2019-04-05 00:00:00,0.09044,19.3657,5004.95,5.3097,5.7268,164.77,0.5729,88.24,13.467,0.02699,0.12697,0.3613,72.05
16,2019-04-06 00:00:00,0.08988,19.0745,5043.89,5.3288,5.9932,165.5,0.5691,92.21,13.079,0.02668,0.12492,0.35264,71.23
17,2019-04-07 00:00:00,0.0898,18.9523,5170.27,5.4207,7.6627,174.21,0.5773,91.55,12.844,0.02889,0.13226,0.3612,74.37
18,2019-04-08 00:00:00,0.08604,17.9777,5236.9,5.5003,7.1169,178.72,0.5634,88.57,12.59,0.03033,0.12969,0.35568,72.19
19,2019-04-09 00:00:00,0.08288,18.2984,5150.0,5.5231,6.9248,174.6,0.53,86.17,12.06,0.0296,0.12417,0.34732,70.3
20,2019-04-10 00:00:00,0.08947,18.24,5308.25,5.8417,7.0264,177.12,0.5197,88.16,12.424,0.02997,0.12578,0.35345,71.75
21,2019-04-11 00:00:00,0.08297,17.5555,5017.37,5.2778,6.2411,164.07,0.4821,78.88,11.152,0.02641,0.11438,0.32705,69.61
22,2019-04-12 00:00:00,0.0825,18.3333,5048.01,5.3313,6.31,163.19,0.492,78.47,11.238,0.02628,0.11318,0.32325,70.94
23,2019-04-13 00:00:00,0.08284,18.6111,5045.22,5.2857,6.2917,162.99,0.5358,77.62,11.015,0.02604,0.11501,0.32458,69.08
24,2019-04-14 00:00:00,0.08416,19.3866,5131.3,5.5422,6.4124,167.23,0.5225,83.28,11.267,0.02686,0.1172,0.32762,69.6
25,2019-04-15 00:00:00,0.0816,19.2666,5024.95,5.3234,6.1626,159.95,0.4883,78.07,10.677,0.02622,0.11237,0.31905,67.45
26,2019-04-16 00:00:00,0.08271,19.6408,5173.72,5.49,6.2393,165.37,0.4985,80.27,10.85,0.02666,0.11423,0.32379,68.98
27,2019-04-17 00:00:00,0.08244,19.4888,5202.82,5.4153,6.1861,165.75,0.4998,78.77,10.923,0.02649,0.11667,0.33436,70.09
28,2019-04-18 00:00:00,0.08118,21.8888,5258.44,5.4654,6.3218,173.33,0.5193,81.68,11.231,0.02672,0.11732,0.33533,70.26
29,2019-04-19 00:00:00,0.07884,24.3188,5258.68,5.4546,6.2528,172.64,0.5095,82.05,11.028,0.02625,0.11486,0.32999,69.23
30,2019-04-20 00:00:00,0.07597,24.8888,5291.73,5.4271,6.2131,172.88,0.5118,81.15,10.881,0.02582,0.11526,0.32668,69.35
31,2019-04-21 00:00:00,0.0733,23.9999,5256.14,5.1987,5.8822,168.59,0.4963,76.65,10.503,0.02476,0.11095,0.31963,67.91
32,2019-04-22 00:00:00,0.078,23.8,5357.14,5.2186,5.8944,170.52,0.4957,76.51,10.756,0.02492,0.11229,0.32252,68.76
33,2019-04-23 00:00:00,0.07351,22.546,5493.31,5.1033,5.8715,169.16,0.4756,73.7,10.215,0.02408,0.10867,0.31807,66.45
34,2019-04-24 00:00:00,0.07205,22.9703,5415.0,4.773,5.5508,164.78,0.475,72.85,9.89,0.02325,0.10232,0.29963,65.26
35,2019-04-25 00:00:00,0.06956,22.4863,5219.9,4.6112,5.4369,154.72,0.4503,71.78,9.584,0.02306,0.09854,0.29161,61.89
36,2019-04-26 00:00:00,0.06989,23.0555,5314.1,4.7925,5.4835,157.95,0.4416,73.82,9.489,0.02382,0.09993,0.3035,61.88
37,2019-04-27 00:00:00,0.0705,22.4324,5295.69,4.7403,5.5464,159.31,0.443,72.23,9.544,0.02348,0.10037,0.29928,61.55
38,2019-04-28 00:00:00,0.06878,23.0226,5307.52,4.7438,5.6296,157.85,0.451,69.89,9.36,0.02334,0.0985,0.29946,60.6
39,2019-04-29 00:00:00,0.0651,21.6788,5238.14,4.5138,5.5908,155.11,0.4338,67.87,9.44,0.02243,0.09551,0.29323,57.89
40,2019-04-30 00:00:00,0.0701,22.0391,5320.81,4.8159,5.886,161.83,0.4727,74.32,9.729,0.02349,0.10061,0.3087,60.66
41,2019-05-01 00:00:00,0.0688,21.8788,5383.2,4.7617,5.8103,160.19,0.473,73.36,9.703,0.02348,0.10106,0.30304,61.06
42,2019-05-02 00:00:00,0.06856,23.6166,5492.87,4.783,5.7789,161.81,0.463,73.68,9.831,0.02339,0.09974,0.30205,60.03
43,2019-05-03 00:00:00,0.06995,23.6999,5772.69,5.0841,6.0612,168.06,0.511,79.22,9.929,0.02381,0.10224,0.30784,62.85
44,2019-05-04 00:00:00,0.06687,22.8888,5829.45,4.9472,5.8306,163.7,0.4964,77.77,9.447,0.023,0.09856,0.30305,60.94
45,2019-05-05 00:00:00,0.06603,22.9777,5775.62,4.879,5.7213,163.05,0.5058,75.7,9.235,0.02319,0.097,0.30044,59.59
46,2019-05-06 00:00:00,0.06696,22.1895,5747.79,4.894,5.6912,173.0,0.5745,74.94,9.158,0.02379,0.09718,0.30283,60.07
47,2019-05-07 00:00:00,0.06412,20.6602,5846.34,4.8492,5.6603,169.18,0.5435,74.61,8.914,0.02385,0.0933,0.29819,57.64
48,2019-05-08 00:00:00,0.0647,20.6673,5987.29,4.9,5.707,170.85,0.594,74.44,9.043,0.02453,0.09216,0.29958,58.25
49,2019-05-09 00:00:00,0.06169,18.8388,6209.18,4.85,5.5821,170.9,0.6403,74.19,8.663,0.02319,0.08883,0.29488,56.58
50,2019-05-10 00:00:00,0.06314,19.6166,6373.33,4.8134,5.6392,172.91,0.6703,77.11,8.775,0.0236,0.09238,0.29881,57.46
51,2019-05-11 00:00:00,0.0739,20.8059,7076.22,5.4125,5.9556,190.2,0.6752,86.59,9.637,0.02479,0.10273,0.31724,63.08
52,2019-05-12 00:00:00,0.07022,20.8934,6967.31,5.3319,5.8319,188.11,0.6586,84.73,9.323,0.02376,0.09823,0.31016,60.67
53,2019-05-13 00:00:00,0.0727,23.521,7790.71,5.5185,6.0496,195.84,0.6474,87.16,9.707,0.02433,0.09951,0.32409,63.58
54,2019-05-14 00:00:00,0.08448,23.6553,7947.56,5.9992,6.5399,216.4,0.828,91.17,11.051,0.02727,0.11338,0.409,67.51
55,2019-05-15 00:00:00,0.0939,26.8116,8169.87,6.4644,7.628,248.1,0.8427,102.02,12.85,0.0309,0.14126,0.45734,77.0
56,2019-05-16 00:00:00,0.08802,26.2888,7866.59,6.4948,7.6505,264.25,0.928,95.49,12.089,0.0285,0.13805,0.41876,75.26
57,2019-05-17 00:00:00,0.08275,25.7795,7355.26,6.0353,7.2659,244.3,0.8911,89.76,11.265,0.027,0.13084,0.38862,73.34
58,2019-05-18 00:00:00,0.07872,28.8171,7257.45,5.8813,7.16,233.6,0.9359,86.51,10.7,0.02644,0.13129,0.37183,71.91
59,2019-05-19 00:00:00,0.08613,29.1122,8148.48,6.4581,7.765,259.51,0.9934,94.58,11.655,0.02825,0.14264,0.41631,77.6
60,2019-05-20 00:00:00,0.08439,29.2666,7938.15,6.2144,7.3647,250.37,1.117,91.1,11.998,0.02782,0.13495,0.39636,75.95
61,2019-05-21 00:00:00,0.08403,32.3907,7904.87,6.2589,7.385,253.43,1.1798,90.79,12.079,0.0283,0.13359,0.39524,74.51
62,2019-05-22 00:00:00,0.07749,30.8067,7628.43,5.9285,6.9025,243.64,1.2205,87.74,11.154,0.02655,0.12173,0.37183,69.73
63,2019-05-23 00:00:00,0.08034,31.3934,7851.51,6.0157,7.0552,244.56,1.3392,88.61,11.411,0.02696,0.12483,0.37956,71.91
64,2019-05-24 00:00:00,0.08062,33.9435,7964.87,6.4064,7.2925,248.87,1.3314,100.5,11.519,0.02761,0.12522,0.38286,72.38
65,2019-05-25 00:00:00,0.08006,35.0168,8025.41,6.3603,7.2763,250.22,1.113,102.66,11.416,0.0276,0.12475,0.3852,72.3
66,2019-05-26 00:00:00,0.08514,33.0919,8614.43,6.8511,7.6004,264.45,1.0828,111.0,11.836,0.0307,0.1316,0.40372,75.32
67,2019-05-27 00:00:00,0.09034,33.511,8756.32,7.9944,8.1316,270.53,1.2119,116.3,12.363,0.03497,0.13778,0.43331,76.22
68,2019-05-28 00:00:00,0.09289,33.1068,8715.64,8.075,8.2296,271.03,1.2788,114.81,12.662,0.03471,0.13917,0.44877,85.12
69,2019-05-29 00:00:00,0.09082,33.6066,8645.68,7.9658,8.1954,268.83,1.1725,115.06,13.633,0.03365,0.13566,0.44307,85.08
70,2019-05-30 00:00:00,0.08392,31.6666,8269.54,7.3,8.0665,254.56,1.0023,107.78,12.575,0.03102,0.12872,0.41789,82.99
71,2019-05-31 00:00:00,0.08914,32.8862,8555.0,8.5645,8.6614,267.9,1.0189,114.6,13.543,0.03307,0.13348,0.43851,90.2
72,2019-06-01 00:00:00,0.09047,33.3521,8544.07,7.7027,8.5698,264.33,0.956,112.35,13.709,0.03746,0.13257,0.42894,86.17
73,2019-06-02 00:00:00,0.0963,33.1527,8725.98,7.7188,9.5287,268.88,1.0155,114.39,14.11,0.03822,0.13639,0.44396,88.86
74,2019-06-03 00:00:00,0.08745,30.7564,8115.82,6.6926,9.3529,249.91,0.9,105.99,12.418,0.03375,0.12764,0.41731,83.63
75,2019-06-04 00:00:00,0.08247,29.2596,7687.03,6.2943,8.2603,241.39,0.885,102.2,11.475,0.03505,0.12106,0.39878,77.69
76,2019-06-05 00:00:00,0.08252,30.8886,7776.5,6.419,8.0964,245.63,1.096,103.66,11.575,0.03396,0.12119,0.4001,80.41
77,2019-06-06 00:00:00,0.08308,31.0888,7786.7,6.3602,7.9374,248.76,1.1098,111.19,11.628,0.03259,0.1248,0.41937,79.65
78,2019-06-07 00:00:00,0.085,31.3098,7980.53,6.6195,8.2067,248.77,1.1753,116.71,12.167,0.03348,0.12705,0.41886,83.13
79,2019-06-08 00:00:00,0.08356,31.7333,7893.62,6.3408,8.3993,243.25,1.1326,118.01,11.971,0.03202,0.12376,0.40699,80.44
80,2019-06-09 00:00:00,0.07887,30.095,7628.13,6.139,8.1171,230.98,1.0595,114.66,11.475,0.02963,0.11845,0.38527,77.35
81,2019-06-10 00:00:00,0.08508,32.0271,7982.75,6.4258,8.3124,246.51,1.206,129.15,12.292,0.03154,0.12323,0.3999,80.12
82,2019-06-11 00:00:00,0.08742,31.8889,7884.9,6.3132,8.2267,244.29,1.1243,135.69,12.268,0.03108,0.12234,0.39192,79.5
83,2019-06-12 00:00:00,0.09603,34.8888,8127.64,6.4217,8.6203,261.15,1.1448,135.32,12.903,0.03349,0.12697,0.40074,91.1
